fecha,producto,region,cantidad,precio_unitario
2015-12-08,Monitor 27 4K,Centro,18,8999.0
2015-12-18,Monitor 27 4K,Bajio,19,8999.0
2015-12-13,Monitor 27 4K,Norte,15,8999.0
2015-12-06,Monitor 27 4K,Centro,15,8999.0
2015-12-18,Monitor 27 4K,Sur,17,8999.0
2015-12-09,Monitor 27 4K,Sur,13,8999.0
2015-12-10,Monitor 27 4K,Norte,10,8999.0
2015-12-06,Monitor 27 4K,Norte,19,8999.0
2015-12-28,Monitor 27 4K,Sur,17,8999.0
2015-12-22,Monitor 27 4K,Norte,18,8999.0
2015-12-13,Monitor 27 4K,Bajio,15,8999.0
2015-12-24,Monitor 27 4K,Norte,18,8999.0
2015-12-08,Monitor 27 4K,Centro,16,8999.0
2015-12-11,Monitor 27 4K,Sur,12,8999.0
2015-12-22,Monitor 27 4K,Centro,19,8999.0
2015-12-20,Monitor 27 4K,Sur,18,8999.0
2015-12-04,Monitor 27 4K,Bajio,14,8999.0
2015-12-26,Monitor 27 4K,Centro,16,8999.0
2015-12-28,Monitor 27 4K,Norte,10,8999.0
2015-12-14,Monitor 27 4K,Norte,17,8999.0
2015-12-13,Monitor 27 4K,Centro,16,8999.0
2015-12-28,Monitor 27 4K,Sur,19,8999.0
2015-12-20,Monitor 27 4K,Norte,16,8999.0
2015-12-28,Monitor 27 4K,Bajio,17,8999.0
